date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
31-05-2017,01-06-2017 00:00,bitstamp,btc_eur,1996.72,2029.99,-1.63892433,2005.5,2005.56,1950,2063.73,2314.50075,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:00,bitflyer,btc_jpy,267098,269649,-0.946044673,267124,267267,267124,267267,70922.88011,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:00,korbit,btc_krw,3003500,3140000,-4.347133758,3003500,3004000,3002000,3209500,6109.752872,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:00,bitstamp,btc_usd,2237.4,2239.37,-0.087971171,2233.09,2237.4,2154.28,2293.46,13681.28202,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:00,okcoin,btc_usd,2318.82,2228.7,4.043612869,2319.4,2319.99,2129.78,2318.82,4241.641516,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:00,korbit,etc_krw,22740,23150,-1.771058315,22700,22730,21000,25500,855853.3699,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:00,bitflyer,eth_btc,0.1034,0.08855,16.77018634,0.10315,0.1034,0.10315,0.1034,21670.567,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:00,korbit,eth_krw,311800,274500,13.58834244,311800,311950,272500,336000,327416.9493,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:00,bitflyer,fx_btc_jpy,266600,275066,-3.077806781,266276,266640,266276,266640,70921.7271,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:00,okcoin,ltc_usd,25.42,24.931,1.961413501,25.364,25.42,23.2,25.514,171028.35,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:01,korbit,etc_krw,22740,23010,-1.173402868,22700,22730,21000,25500,855853.3699,31-05-2017 14:59,31-05-2017 14:59
31-05-2017,01-06-2017 00:01,korbit,eth_krw,311900,272500,14.4587156,311900,311950,273000,336000,326531.2428,31-05-2017 15:00,31-05-2017 15:00
01-06-2017,01-06-2017 00:01,bitstamp,btc_eur,2005.56,2013.41,-0.389885816,2005.56,2006.01,1950,2063.73,2317.219654,31-05-2017 15:00,31-05-2017 15:00
01-06-2017,01-06-2017 00:01,bitflyer,btc_jpy,268271,269440,-0.433862827,268271,268300,268271,268300,71179.52085,31-05-2017 15:00,31-05-2017 15:00
01-06-2017,01-06-2017 00:01,korbit,btc_krw,3003500,3140000,-4.347133758,3003500,3004000,3002000,3209500,6116.842082,31-05-2017 15:00,31-05-2017 15:00
01-06-2017,01-06-2017 00:01,bitstamp,btc_usd,2248.39,2242.44,0.265335973,2247.77,2248.38,2154.28,2293.46,13701.6986,31-05-2017 15:00,31-05-2017 15:00
01-06-2017,01-06-2017 00:01,okcoin,btc_usd,2320.42,2228.4,4.129420212,2320.99,2321.49,2129.78,2322,4260.261516,31-05-2017 15:00,31-05-2017 15:00
01-06-2017,01-06-2017 00:01,bitflyer,eth_btc,0.1034,0.08813,17.3266765,0.10315,0.1034,0.10315,0.1034,21524.41534,31-05-2017 15:00,31-05-2017 15:00
01-06-2017,01-06-2017 00:01,bitflyer,fx_btc_jpy,268000,275064,-2.568129599,267858,268000,267858,268000,71179.52085,31-05-2017 15:00,31-05-2017 15:00
01-06-2017,01-06-2017 00:01,okcoin,ltc_usd,25.505,25.003,2.007759069,25.437,25.505,23.2,25.514,171285.683,31-05-2017 15:00,31-05-2017 15:00
01-06-2017,01-06-2017 00:02,bitstamp,btc_eur,2014.99,2016.7,-0.084791987,2014.9,2014.99,1950,2063.73,2330.304749,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:02,bitflyer,btc_jpy,268750,269507,-0.280883242,268295,268500,268295,268500,71668.0919,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:02,korbit,btc_krw,3017000,3159000,-4.495093384,3017000,3004000,3002000,3209500,6126.342962,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:02,bitstamp,btc_usd,2248.35,2238.58,0.436437384,2248.35,2248.69,2154.28,2293.46,13742.11091,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:02,okcoin,btc_usd,2323.5,2229.99,4.193292347,2323.5,2323.51,2129.78,2323.5,4263.031516,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:02,korbit,etc_krw,22700,23000,-1.304347826,22700,22730,21000,25500,848605.9607,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:02,bitflyer,eth_btc,0.1034,0.088,17.5,0.10315,0.1034,0.10315,0.1034,21376.26549,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:02,korbit,eth_krw,311950,275000,13.43636364,311650,311950,274000,336000,326480.64,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:02,bitflyer,fx_btc_jpy,269900,275064,-1.877381264,268905,269800,268905,269800,71666.0919,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:02,okcoin,ltc_usd,25.451,25.004,1.787713966,25.45,25.451,23.2,25.514,171128.184,31-05-2017 15:01,31-05-2017 15:01
01-06-2017,01-06-2017 00:03,bitstamp,btc_eur,2014.99,2016.7,-0.084791987,2014.9,2014.99,1950,2063.73,2331.871393,31-05-2017 15:02,31-05-2017 15:02
01-06-2017,01-06-2017 00:03,bitflyer,btc_jpy,268874,270182,-0.484118113,268874,268880,268874,268880,71568.74741,31-05-2017 15:02,31-05-2017 15:02
01-06-2017,01-06-2017 00:03,korbit,btc_krw,3019500,3155500,-4.309935034,3005000,3005500,3002000,3209500,6128.596992,31-05-2017 15:02,31-05-2017 15:02
01-06-2017,01-06-2017 00:03,bitstamp,btc_usd,2250,2245.99,0.178540421,2250.1,2251.44,2154.28,2293.46,13798.45772,31-05-2017 15:02,31-05-2017 15:02
01-06-2017,01-06-2017 00:03,okcoin,btc_usd,2364.4,2232.59,5.90390533,2364.41,2369.52,2129.78,2379,4308.703516,31-05-2017 15:02,31-05-2017 15:02
01-06-2017,01-06-2017 00:03,korbit,etc_krw,22700,22990,-1.261418008,22700,22730,21000,25500,847135.373,31-05-2017 15:01,31-05-2017 15:02
